            Product Name,            Price,            Discount(%),No. of Sells,No. of Review,            Location,            Product Link,            Product ID,            SKU,,
Beautiful and Peaceful Islam Printed Casual T-Shirt For Man - A Round Neck Casual Wear Reflecting Your Cultural Identity,à§³ 90,63% Off,39 sold,N/A,Dhaka,//www.daraz.com.bd/products/-i391771266.html,391771266,391771266_BD-1954892709,,
premium Quality T shirt for mens,à§³ 139,54% Off,35 sold,-4,Dhaka,//www.daraz.com.bd/products/-i391812408.html,391812408,391812408_BD-1955019201,,
New Best Save Palestine Synthetic T-Shirt for Men,à§³ 90,72% Off,12 sold,-1,Dhaka,//www.daraz.com.bd/products/-i392384593.html,392384593,392384593_BD-1956973108,,
Export Quality New T-Shirt Fabric Soft And Comfortable - T Shirt,à§³ 90,64% Off,28 sold,N/A,Dhaka,//www.daraz.com.bd/products/-i392380671.html,392380671,392380671_BD-1956965000,,
2 Pis Stylist Summer - Tshirt For Men or ledis,à§³ 190,47% Off,24 sold,N/A,Dhaka,//www.daraz.com.bd/products/2-i391040820.html,391040820,391040820_BD-2078066743,,
Stream Rap Men's T-Shirt II Printed Casual - Half Sleeve Round Neck - Comfortable to Wear in Summer Season,à§³ 95,52% Off,22.6K sold,-1434,Dhaka,//www.daraz.com.bd/products/stream-rap-mens-t-shirt-ii-printed-casual-half-sleeve-round-neck-comfortable-to-wear-in-summer-season-i269755117.html,269755117,269755117_BD-1632223359,,
Black Printed Summer Combo T-Shirt & Pant for Men,à§³ 256,53% Off,36.9K sold,-3086,Dhaka,//www.daraz.com.bd/products/-i192042736.html,192042736,192042736_BD-1138894260,,
China Vland Degin Tshirt For men,à§³ 99,50% Off,3.1K sold,-192,Dhaka,//www.daraz.com.bd/products/-i342846611.html,342846611,342846611_BD-1672821055,,
Best Quality Casual T-shirt's for men,à§³ 107,57% Off,6.4K sold,-380,Dhaka,//www.daraz.com.bd/products/-i323501490.html,323501490,323501490_BD-1541186770,,
ami amar moto New Desing Soft & Comfortable T-shirt For Men-T-shirt,à§³ 96,52% Off,1.7K sold,-82,Dhaka,//www.daraz.com.bd/products/ami-amar-moto-i361958690.html,361958690,361958690_BD-1786323392,,
